iter	Passed	Remaining
614	6467	4048
615	6481	4040
616	6491	4029
617	6503	4019
618	6515	4010
619	6530	4002
620	6545	3994
621	6559	3986
622	6574	3978
623	6588	3970
624	6613	3967
625	6622	3956
626	6634	3947
627	6645	3936
628	6655	3925
629	6667	3915
630	6678	3905
631	6688	3894
632	6697	3883
633	6706	3871
634	6715	3860
635	6723	3848
636	6732	3836
637	6740	3824
638	6749	3813
639	6758	3801
640	6767	3790
641	6775	3778
642	6783	3766
643	6793	3755
644	6803	3744
645	6813	3733
646	6822	3722
647	6832	3711
648	6840	3699
649	6850	3688
650	6857	3676
651	6866	3665
652	6875	3653
653	6885	3642
654	6893	3630
655	6903	3619
656	6912	3608
657	6920	3597
658	6929	3585
659	6938	3574
660	6948	3563
661	6956	3551
662	6967	3541
663	6976	3530
664	6986	3519
665	6997	3509
666	7008	3498
667	7016	3487
668	7028	3477
669	7037	3466
670	7051	3457
671	7064	3448
672	7076	3438
673	7089	3428
674	7102	3419
675	7114	3410
676	7130	3402
677	7146	3393
678	7160	3385
679	7170	3374
680	7182	3364
681	7192	3353
682	7206	3344
683	7216	3333
684	7226	3322
685	7236	3312
686	7248	3302
687	7258	3291
688	7267	3280
689	7277	3269
690	7290	3260
691	7303	3250
692	7312	3239
693	7327	3230
694	7341	3221
695	7350	3210
696	7361	3200
697	7370	3188
698	7380	3178
699	7388	3166
700	7399	3156
701	7408	3144
702	7417	3133
703	7425	3122
704	7435	3111
705	7443	3099
706	7452	3088
707	7460	3076
708	7470	3066
709	7484	3056
710	7495	3046
711	7505	3036
712	7517	3026
713	7528	3015
714	7543	3006
715	7553	2996
716	7561	2984
717	7569	2972
718	7578	2962
719	7587	2950
720	7597	2939
721	7607	2929
722	7616	2918
723	7626	2907
724	7635	2896
725	7645	2885
726	7657	2875
727	7666	2864
728	7675	2853
729	7684	2842
730	7694	2831
731	7704	2820
732	7713	2809
733	7722	2798
734	7731	2787
735	7738	2775
736	7747	2764
737	7755	2753
738	7764	2742
739	7774	2731
740	7783	2720
741	7795	2710
742	7806	2700
743	7816	2689
744	7826	2679
745	7834	2667
746	7843	2656
747	7852	2645
748	7861	2634
749	7870	2623
750	7879	2612
751	7888	2601
752	7896	2590
753	7905	2579
754	7913	2568
755	7921	2556
756	7930	2545
757	7937	2534
758	7946	2523
759	7953	2511
760	7962	2500
761	7969	2489
762	7977	2478
763	7987	2467
764	7995	2456
765	8003	2444
766	8010	2433
767	8020	2422
768	8028	2411
769	8036	2400
770	8046	2389
771	8053	2378
772	8061	2367
773	8069	2356
774	8076	2344
775	8086	2334
776	8094	2323
777	8102	2312
778	8111	2301
779	8121	2290
780	8129	2279
781	8141	2269
782	8151	2259
